,0,1,2,3,4,sentence
396,439,almost everything else is here too.,532,COBB,61,almost everything else is here too.
397,440,who are the people,533,ARIADNE,61,who are the people
398,441,projections of my subconscious.,533,COBB,61,projections of my subconscious.
399,442, yours,533,ARIADNE,61, yours
400,443, yes.,533,COBB,61, yes.
401,444,"remember, you are the dreamer.",534,COBB,61,"remember, you are the dreamer."
402,445,you build this world.,534,COBB,61,you build this world.
403,446,i am the subject.,535,COBB,61,i am the subject.
404,447,my mind populates it.,535,COBB,61,my mind populates it.
405,448,you can literally talk to my subconscious.,535,COBB,61,you can literally talk to my subconscious.
406,449,that's one of the ways we extract information from the subject.,535,COBB,61,that's one of the ways we extract information from the subject.
407,450,how else do you do it,535,ARIADNE,61,how else do you do it
408,451,"by creating something secure, like a bank vault or a jail.",535,COBB,61,"by creating something secure, like a bank vault or a jail."
409,452,the mind automatically fills it with information it's trying to protect.,535,COBB,61,the mind automatically fills it with information it's trying to protect.
410,453, you understand,535,COBB,61, you understand
411,454, then you break in and steal it,535,ARIADNE,61, then you break in and steal it
412,455,well...,535,COBB,61,well...
413,456,i guess i thought that the dream space would be all about the visual...,536,ARIADNE,61,i guess i thought that the dream space would be all about the visual...
414,457,...but it's more about the feel of it.,537,ARIADNE,61,...but it's more about the feel of it.
415,458,my question is what happens when you start messing with the physics of it all,538,ARIADNE,61,my question is what happens when you start messing with the physics of it all
416,460,"it's something, isn't it",546,ARIADNE,61,"it's something, isn't it"
417,461,"yes, it is.",547,COBB,61,"yes, it is."
418,462,why are they all looking at me,554,ARIADNE,61,why are they all looking at me
419,463,because my subconscious feels that someone else is creating this world.,555,COBB,61,because my subconscious feels that someone else is creating this world.
420,464,"the more you change things, the quicker the projections start to converge on you.",556,COBB,61,"the more you change things, the quicker the projections start to converge on you."
421,465,converge,557,ARIADNE,61,converge
422,466,they sense the foreign nature of the dreamer.,557,COBB,61,they sense the foreign nature of the dreamer.
423,467,"they attack, like white blood cells fighting an infection.",557,COBB,61,"they attack, like white blood cells fighting an infection."
424,468," what, they're gonna attack us",557,ARIADNE,61," what, they're gonna attack us"
425,469," no, no.",557,COBB,61," no, no."
426,470,just you.,557,COBB,61,just you.
427,472,"this is great, but i'm telling you, if you keep changing things like this...",559,COBB,61,"this is great, but i'm telling you, if you keep changing things like this..."
428,473,"jeez, mind telling your subconscious to take it easy",561,ARIADNE,61,"jeez, mind telling your subconscious to take it easy"
429,474,it's my subconscious.,561,COBB,61,it's my subconscious.
430,475,remember,561,COBB,61,remember
431,476,i can't control it.,561,COBB,61,i can't control it.
432,477,very impressive.,572,COBB,61,very impressive.
433,478,i know this bridge.,577,COBB,61,i know this bridge.
434,479,"this place is real, isn't it",577,COBB,61,"this place is real, isn't it"
435,480,"yeah, i cross it every day to get to the college.",578,ARIADNE,61,"yeah, i cross it every day to get to the college."
436,481,never recreate places from your memory.,579,COBB,61,never recreate places from your memory.
437,482,always imagine new places.,579,COBB,61,always imagine new places.
438,483,"you draw from stuff you know, right",580,ARIADNE,61,"you draw from stuff you know, right"
439,484,only use details.,581,COBB,61,only use details.
440,485,a streetlamp or a phone booth.,581,COBB,61,a streetlamp or a phone booth.
441,486,never entire areas.,581,COBB,61,never entire areas.
442,487, why not,582,ARIADNE,61, why not
443,488, building a dream from your memory...,582,COBB,61, building a dream from your memory...
444,489,...is the easiest way to lose your grasp on what's real and what is a dream.,582,COBB,61,...is the easiest way to lose your grasp on what's real and what is a dream.
445,490, is that what happened to you,582,ARIADNE,61, is that what happened to you
446,491, listen to me.,582,COBB,61, listen to me.
447,492,"this has nothing to do with me, understand",583,COBB,61,"this has nothing to do with me, understand"
448,493,that why you need me to build your dreams,584,COBB,61,that why you need me to build your dreams
449,494,"hey, get off of her.",586,COBB,61,"hey, get off of her."
450,495,back up.,586,COBB,61,back up.
451,496,back up.,586,COBB,61,back up.
452,497, cobb,587,ARIADNE,61, cobb
453,498,cobb,587,ARIADNE,61,cobb
454,499, get off of her,587,COBB,61, get off of her
455,500, let me go,588,ARIADNE,61, let me go
456,501,let me go,588,ARIADNE,61,let me go
457,502, mal,588,COBB,61, mal
458,503, mal,591,COBB,61, mal
459,504, cobb,591,ARIADNE,61, cobb
460,505,wake me up,591,ARIADNE,61,wake me up
461,506, wake me up,593,ARIADNE,61, wake me up
462,507,wake me up,593,ARIADNE,61,wake me up
463,508, no,593,COBB,61, no
464,509," mal, no",595,COBB,61," mal, no"
465,510,no,595,COBB,61,no
466,511, wake me up,595,ARIADNE,61, wake me up
467,513,"hey, hey, hey.",597,ARTHUR,61,"hey, hey, hey."
468,514,look at me.,597,ARTHUR,61,look at me.
469,515,you're okay.,597,ARTHUR,62,you're okay.
470,516,you're okay.,597,ARTHUR,62,you're okay.
471,517, hey.,597,ARTHUR,62, hey.
472,518, why wouldn't i wake up,597,ARIADNE,62, why wouldn't i wake up
473,519,there was still time on the clock.,597,ARTHUR,62,there was still time on the clock.
474,520,you can't wake up from within the dream unless you die.,597,ARTHUR,62,you can't wake up from within the dream unless you die.
475,521, she'll need a totem.,598,COBB,62, she'll need a totem.
476,522,what,598,ARIADNE,62,what
477,523,"a totem, it's a small personal...",599,ARTHUR,62,"a totem, it's a small personal..."
478,524,"that's some subconscious you've got on you, cobb",600,ARIADNE,62,"that's some subconscious you've got on you, cobb"
479,525, she's a real charmer.,601,ARIADNE,62, she's a real charmer.
480,526, oh.,601,ARTHUR,62, oh.
481,527, i see you met mrs. cobb.,601,ARTHUR,62, i see you met mrs. cobb.
482,528, she's his wife,601,ARIADNE,62, she's his wife
483,529,yeah.,601,ARTHUR,62,yeah.
484,530,so a totem.,601,ARTHUR,62,so a totem.
485,531,"you need a small object, potentially heavy.",601,ARTHUR,62,"you need a small object, potentially heavy."
486,532,something you can have on you that no one else knows.,602,ARTHUR,62,something you can have on you that no one else knows.
487,533,like a coin,602,ARIADNE,64,like a coin
488,534,no.,602,ARTHUR,64,no.
489,535,it needs to be more unique than that.,604,ARTHUR,64,it needs to be more unique than that.
490,536,"like, this is a loaded die.",604,ARTHUR,66,"like, this is a loaded die."
491,537,"no, i can't let you touch it.",606,ARTHUR,66,"no, i can't let you touch it."
492,538,that would defeat the purpose.,606,ARTHUR,66,that would defeat the purpose.
493,539,"see, only i know the balance and the weight of this particular loaded die.",607,ARTHUR,66,"see, only i know the balance and the weight of this particular loaded die."
494,540,"that way, when you look at your totem...",609,ARTHUR,66,"that way, when you look at your totem..."
495,541,...you know beyond a doubt that you're not in someone else's dream.,610,ARTHUR (O.S.),67,...you know beyond a doubt that you're not in someone else's dream.
496,542,"i don't know if you can't see what's going on, or if you just don't want to...",611,ARIADNE,68,"i don't know if you can't see what's going on, or if you just don't want to..."
497,543,...but cobb has some serious problems that he's tried to bury down there.,613,ARIADNE,68,...but cobb has some serious problems that he's tried to bury down there.
498,544,and i'm not about to just open my mind to someone like that.,613,ARIADNE,68,and i'm not about to just open my mind to someone like that.
499,546,she'll be back.,616,COBB (O.S.),68,she'll be back.
500,547,i've never seen anyone pick it up that quickly before.,616,COBB,68,i've never seen anyone pick it up that quickly before.
501,548,"reality's not gonna be enough for her now, and when she comes back...",618,COBB,68,"reality's not gonna be enough for her now, and when she comes back..."
502,549,"when she comes back, you're gonna have her building mazes.",618,COBB,68,"when she comes back, you're gonna have her building mazes."
503,550, where are you gonna be,619,ARTHUR,68, where are you gonna be
504,551, i gotta go visit eames.,619,COBB,68, i gotta go visit eames.
505,552,eames,620,ARTHUR,68,eames
506,553,"no, he's in mombasa.",620,ARTHUR,68,"no, he's in mombasa."
507,554,it's cobol's back yard.,620,ARTHUR,68,it's cobol's back yard.
508,555,it's a necessary risk.,621,COBB,68,it's a necessary risk.
509,556," well, there's plenty of good thieves.",623,ARTHUR,68," well, there's plenty of good thieves."
510,557, we don't just need a thief.,623,COBB,68, we don't just need a thief.
511,558,we need a forger.,623,COBB,68,we need a forger.
512,559,"rub them together all you want, they're not gonna breed.",625,COBB (O.S.),69,"rub them together all you want, they're not gonna breed."
513,560,you never know.,627,EAMES,69,you never know.
514,561,i'm gonna get you a drink.,629,COBB,69,i'm gonna get you a drink.
515,562,you're buying.,630,EAMES,69,you're buying.
516,563, your spelling hasn't improved.,631,COBB,69, your spelling hasn't improved.
517,564, piss off.,631,EAMES,69, piss off.
518,565,how's your handwriting,631,COBB,69,how's your handwriting
519,566, it's versatile.,631,EAMES,69, it's versatile.
520,567, good.,631,COBB,70, good.
521,568,thank you very much.,631,EAMES,70,thank you very much.
522,569,inception.,632,COBB,71,inception.
523,570,"now, before you bother telling me it's impossible, let me...",632,COBB,71,"now, before you bother telling me it's impossible, let me..."
524,571,"no, it's perfectly possible.",632,EAMES,71,"no, it's perfectly possible."
525,572,it's just bloody difficult.,632,EAMES,71,it's just bloody difficult.
526,573,interesting.,632,COBB,71,interesting.
527,574,because arthur keeps telling me it can't be done.,632,COBB,71,because arthur keeps telling me it can't be done.
528,575,hmm.,633,EAMES,71,hmm.
529,576,arthur.,633,EAMES,71,arthur.
530,577,you still working with that stick in the mud,633,EAMES,71,you still working with that stick in the mud
531,578,"he is good at what he does, right",634,COBB,71,"he is good at what he does, right"
532,579,"oh, he's the best, but he has no imagination.",636,EAMES,71,"oh, he's the best, but he has no imagination."
533,580,not like you.,636,EAMES,71,not like you.
534,581,"listen, if you're gonna perform inception, you need imagination.",637,EAMES,71,"listen, if you're gonna perform inception, you need imagination."
535,582,let me ask you something.,638,COBB,71,let me ask you something.
536,583,have you done it before,638,COBB,71,have you done it before
537,584,we tried it.,639,EAMES,71,we tried it.
538,585,"uh, we got the idea in place, but it didn't take.",639,EAMES,71,"uh, we got the idea in place, but it didn't take."
539,586, you didn't plant it deep enough,640,COBB,71, you didn't plant it deep enough
540,587," no, it's not just about depth.",640,EAMES,71," no, it's not just about depth."
541,588,you need the simplest version of the idea...,641,EAMES,71,you need the simplest version of the idea...
542,589,...in order for it to grow naturally in your subject's mind.,641,EAMES,71,...in order for it to grow naturally in your subject's mind.
543,590,it's a subtle art.,641,EAMES,71,it's a subtle art.
544,591,"so, what is this idea that you need to plant",643,EAMES,71,"so, what is this idea that you need to plant"
545,592,we need the heir of a major corporation to dissolve his father's empire.,644,COBB,71,we need the heir of a major corporation to dissolve his father's empire.
546,593,right there you have various political motivations...,645,EAMES,71,right there you have various political motivations...
547,594,...and antimonopolistic sentiments and so forth.,645,EAMES,71,...and antimonopolistic sentiments and so forth.
548,595,"but all of that stuff, it's, um...",645,EAMES,71,"but all of that stuff, it's, um..."
549,596,"it's really at the mercy of your subject's prejudice, you see",645,EAMES,71,"it's really at the mercy of your subject's prejudice, you see"
550,597,what you have to do is start at the absolute basic.,645,EAMES,71,what you have to do is start at the absolute basic.
551,598,which is what,646,COBB,71,which is what
552,599,the relationship with the father.,647,EAMES,71,the relationship with the father.
553,600, do you have a chemist,649,EAMES,71, do you have a chemist
554,601," no, not yet.",649,COBB,71," no, not yet."
555,602,right.,651,EAMES,71,right.
556,603,"okay, well, there's a man here, yusuf.",651,EAMES,71,"okay, well, there's a man here, yusuf."
557,604,"he, uh, formulates his own versions of the compounds.",651,EAMES,71,"he, uh, formulates his own versions of the compounds."
558,605,why don't you take me there,652,COBB,71,why don't you take me there
559,606,once you've lost your tail.,652,EAMES,71,once you've lost your tail.
560,607,the man at the bar.,652,EAMES,71,the man at the bar.
561,608,cobol engineering.,654,COBB,71,cobol engineering.
562,609,"that price on my head, was that dead or alive",655,COBB,71,"that price on my head, was that dead or alive"
563,610,don't remember.,656,EAMES,71,don't remember.
564,611,let's see if he starts shooting.,656,EAMES,71,let's see if he starts shooting.
565,612,run interference.,658,COBB,71,run interference.
566,613,"i'll meet you downstairs in the bar in, say, uh, half an hour",658,COBB,71,"i'll meet you downstairs in the bar in, say, uh, half an hour"
567,614, back here,658,EAMES,71, back here
568,615, this is the last place they'd suspect.,658,COBB,71, this is the last place they'd suspect.
569,617,all right.,660,EAMES,71,all right.
570,618,freddy.,661,EAMES,71,freddy.
571,619,freddy simmonds.,661,EAMES,71,freddy simmonds.
572,620,"my god, it's you, isn't it",664,EAMES,71,"my god, it's you, isn't it"
573,622,"no, it isn't you.",669,EAMES,71,"no, it isn't you."
574,623,"not dreaming now, are you",671,TAIL,71,"not dreaming now, are you"
575,625,get him,674,TAIL,71,get him
576,626,there,684,TAIL,72,there
577,628,one caf.,689,COBB,72,one caf.
578,629,shh.,692,COBB,72,shh.
579,631,one caf.,695,COBB,72,one caf.
580,632,one caf.,697,COBB,72,one caf.
581,637,"care for a lift, mr. cobb",738,SAITO,72,"care for a lift, mr. cobb"
582,638, what are you doing in mombasa,740,COBB,72, what are you doing in mombasa
583,639, i'm here to protect my investment.,740,SAITO,72, i'm here to protect my investment.
584,641,ah.,743,EAMES,72,ah.
585,642,"so this is your idea of losing a tail, huh",743,EAMES,73,"so this is your idea of losing a tail, huh"
586,643,different tail.,744,COBB,73,different tail.
587,645,cobb said you'd be back.,747,ARTHUR,74,cobb said you'd be back.
588,646," i tried not to come, but...",748,ARIADNE,74," i tried not to come, but..."
589,647, but there's nothing quite like it.,748,ARTHUR,74, but there's nothing quite like it.
590,648,it's just pure creation.,749,ARIADNE,74,it's just pure creation.
591,649,shall we take a look at some paradoxical architecture,750,ARTHUR,74,shall we take a look at some paradoxical architecture
592,650,you're gonna have to master a few tricks...,751,ARTHUR,75,you're gonna have to master a few tricks...
593,651,...if you're gonna build three complete dream levels.,751,ARTHUR,75,...if you're gonna build three complete dream levels.
594,652,excuse me.,751,ARTHUR,75,excuse me.
595,653,what kind of tricks,752,ARIADNE,75,what kind of tricks
596,654,"in a dream, you can cheat architecture into impossible shapes.",753,ARTHUR,75,"in a dream, you can cheat architecture into impossible shapes."
597,655,"that lets you create closed loops, like the penrose steps.",754,ARTHUR,75,"that lets you create closed loops, like the penrose steps."
598,656,the infinite staircase.,755,ARTHUR,75,the infinite staircase.
599,657,see,758,ARTHUR,75,see
600,658,paradox.,758,ARTHUR,75,paradox.
601,659,so a closed loop like that...,758,ARTHUR,75,so a closed loop like that...
602,660,...will help you disguise the boundaries of the dream you create.,758,ARTHUR,75,...will help you disguise the boundaries of the dream you create.
603,661,but how big do these levels have to be,759,ARIADNE,75,but how big do these levels have to be
604,662,it could be anything from the floor of a building to an entire city.,759,ARTHUR,75,it could be anything from the floor of a building to an entire city.
605,663,they have to be complicated enough that we can hide from the projections.,759,ARTHUR,75,they have to be complicated enough that we can hide from the projections.
606,664, a maze,759,ARIADNE,75, a maze
607,665," right, a maze.",759,ARTHUR,75," right, a maze."
608,666,and the better the maze...,759,ARTHUR,75,and the better the maze...
609,667,then the longer we have before the projections catch us,759,ARIADNE,75,then the longer we have before the projections catch us
610,668,exactly.,759,ARTHUR,75,exactly.
611,669, my subconscious seems polite enough.,759,ARIADNE,75, my subconscious seems polite enough.
612,670," ha, ha.",759,ARTHUR,75," ha, ha."
613,671,"you wait, they'll turn ugly.",759,ARTHUR,75,"you wait, they'll turn ugly."
614,672,no one likes to feel someone else messing around in their mind.,760,ARTHUR,75,no one likes to feel someone else messing around in their mind.
615,673,"cobb can't build anymore, can he",761,ARIADNE,75,"cobb can't build anymore, can he"
616,674,"i don't know if he can't, but he won't.",761,ARTHUR,75,"i don't know if he can't, but he won't."
617,675,he thinks it's safer if he doesn't know the layouts.,761,ARTHUR,75,he thinks it's safer if he doesn't know the layouts.
618,676,why,762,ARIADNE,75,why
619,677,he won't tell me.,763,ARTHUR,75,he won't tell me.
620,678,but i think it's mal.,763,ARTHUR,75,but i think it's mal.
621,679, his exwife,763,ARIADNE,75, his exwife
622,680," no, not his ex.",763,ARTHUR,75," no, not his ex."
623,681, they're still together,765,ARIADNE,75, they're still together
624,682, no.,765,ARTHUR,75, no.
625,683,"no, she's dead.",765,ARTHUR,75,"no, she's dead."
626,684,what you see in there is just his projection of her.,767,ARTHYR,76,what you see in there is just his projection of her.
627,685,what was she like in real life,768,ARIADNE,76,what was she like in real life
628,686,she was lovely.,769,ARTHUR,76,she was lovely.
629,687,you are seeking a chemist,770,YUSUF,79,you are seeking a chemist
630,688,yes.,770,COBB,79,yes.
631,689,to formulate compounds for a job,771,YUSUF,79,to formulate compounds for a job
632,690,and to go into the field with us.,772,COBB,79,and to go into the field with us.
633,691,"no, i rarely go into the field, mr. cobb.",773,YUSUF,79,"no, i rarely go into the field, mr. cobb."
634,692,"well, we'd need you there to tailor compounds specific to our needs.",774,COBB,79,"well, we'd need you there to tailor compounds specific to our needs."
635,693, which are,775,YUSUF,79, which are
636,694, great depth.,775,COBB,79, great depth.
637,695,a dream within a dream,777,YUSUF,79,a dream within a dream
638,696,two levels,777,YUSUF,79,two levels
639,697,three.,778,COBB,79,three.
640,698,not possible.,779,YUSUF,79,not possible.
641,699,that many dreams within dreams is too unstable.,779,YUSUF,79,that many dreams within dreams is too unstable.
642,700,it is possible.,780,COBB,79,it is possible.
643,701,you just have to add a sedative.,780,COBB,79,you just have to add a sedative.
644,702,a powerful sedative.,781,YUSUF,79,a powerful sedative.
645,703, how many team members,783,YUSUF,79, how many team members
646,704, five.,783,COBB,79, five.
647,705,six.,784,SAITO,79,six.
648,706,the only way to know you've done the job is if i go in with you.,785,SAITO,79,the only way to know you've done the job is if i go in with you.
649,707,"there's no room for tourists on a job like this, mr. saito.",786,EAMES,79,"there's no room for tourists on a job like this, mr. saito."
650,708,"this time, it seems there is.",787,SAITO,79,"this time, it seems there is."
651,709,"this, i think, is a good place to start.",788,YUSUF,79,"this, i think, is a good place to start."
652,710,i use it every day.,788,YUSUF,79,i use it every day.
653,711,what for,788,COBB,79,what for
654,712," here, i'll show you.",788,YUSUF,79," here, i'll show you."
655,713,perhaps you will not want to see.,790,YUSUF,79,perhaps you will not want to see.
656,715,machine hissing,792,YUSUF,80,machine hissing
657,716,ten.,793,EAMES,80,ten.
658,717,twelve.,793,EAMES,80,twelve.
659,718,all connected.,793,EAMES,80,all connected.
660,719,bloody hell.,793,EAMES,80,bloody hell.
661,720,they come every day to share the dream.,793,YUSUF,80,they come every day to share the dream.
662,721,you see,794,YUSUF,80,you see
663,722,very stable.,794,YUSUF,80,very stable.
664,723, how long do they dream for,795,COBB,80, how long do they dream for
665,724,"three, four hours, each day.",795,YUSUF,80,"three, four hours, each day."
666,725,in dream time,795,COBB,80,in dream time
667,726,with this compound,795,YUSUF,80,with this compound
668,727,"about 40 hours, each and every day.",795,YUSUF,80,"about 40 hours, each and every day."
669,728, why do they do it,796,SAITO,80, why do they do it
670,729,"tell him, mr. cobb.",796,YUSUF,80,"tell him, mr. cobb."
671,730,"after a while, it becomes the only way you can dream.",797,COBB,80,"after a while, it becomes the only way you can dream."
672,731,"do you still dream, mr. cobb",797,YUSUF,80,"do you still dream, mr. cobb"
673,732, they come here every day to sleep,797,EAMES,80, they come here every day to sleep
674,733,no.,797,ELDERLY BALD MAN (O.S.),80,no.
675,734,they come to be woken up.,797,ELDERLY BALD MAN,80,they come to be woken up.
676,735,the dream has become their reality.,797,ELDERLY BALD MAN,80,the dream has become their reality.
677,736,"who are you to say otherwise, sir",797,ELDERLY BALD MAN,80,"who are you to say otherwise, sir"
678,737,let's see what you can do.,798,COBB,80,let's see what you can do.
679,739,you know how to find me.,802,MAL,80,you know how to find me.
680,740,you know what you have to do.,805,MAL,80,you know what you have to do.
681,741,"sharp, no",807,YUSUF,80,"sharp, no"
682,742,"are you all right, mr. cobb",816,SAITO,80,"are you all right, mr. cobb"
683,743,"yeah, yeah.",816,COBB,80,"yeah, yeah."
684,744,everything's just fine.,816,COBB,80,everything's just fine.
685,745,"robert fischer, heir to the fischer morrow energy conglomerate.",822,SAITO,81,"robert fischer, heir to the fischer morrow energy conglomerate."
686,746,cobb what's your problem with this mr. fischer,823,COBB,81,cobb what's your problem with this mr. fischer
687,747,that's not your concern.,824,SAITO,81,that's not your concern.
688,748,"mr. saito, this isn't your typical corporate espionage.",825,COBB,81,"mr. saito, this isn't your typical corporate espionage."
689,749,you asked me for inception.,825,COBB,81,you asked me for inception.
690,750,i do hope you understand the gravity of that request.,825,COBB,81,i do hope you understand the gravity of that request.
691,751,"now, the seed that we plant in this man's mind will grow into an idea.",825,COBB,81,"now, the seed that we plant in this man's mind will grow into an idea."
692,752,this idea will define him.,825,COBB,81,this idea will define him.
693,753,it may come to change...,825,COBB,81,it may come to change...
694,754,"well, it may come to change everything about him.",825,COBB,81,"well, it may come to change everything about him."
695,755,we're the last company standing between them and total energy dominance.,826,SAITO,81,we're the last company standing between them and total energy dominance.
696,756,and we can no longer compete.,826,SAITO,81,and we can no longer compete.
697,757,"soon, they'll control the energy supply of half the world.",828,SAITO,81,"soon, they'll control the energy supply of half the world."
698,758,"in effect, they become a new superpower.",829,SAITO,81,"in effect, they become a new superpower."
699,759,the world needs robert fischer to change his mind.,831,SAITO,81,the world needs robert fischer to change his mind.
700,760,that's where we come in.,831,EAMES,81,that's where we come in.
701,761,how is robert fischer's relationship with his father,832,EAMES,81,how is robert fischer's relationship with his father
702,762,rumor is the relationship is quite complicated.,833,SAITO,81,rumor is the relationship is quite complicated.
703,763,"well, we can't work based solely on rumor, can we",834,COBB,81,"well, we can't work based solely on rumor, can we"
704,764,can you get me access to this man here,835,EAMES,81,can you get me access to this man here
705,765,browning.,835,EAMES,81,browning.
706,766,fischer senior's righthand man.,836,EAMES,81,fischer senior's righthand man.
707,767,fischer junior's godfather.,836,EAMES,81,fischer junior's godfather.
708,768,"it should be possible, if you can get the right references.",838,SAITO,81,"it should be possible, if you can get the right references."
709,769,"references are something of a specialty for me, mr. saito.",839,EAMES,81,"references are something of a specialty for me, mr. saito."
710,770,i'm not smelling settlement here.,840,BROWNING,82,i'm not smelling settlement here.
711,771,take them down.,840,BROWNING,84,take them down.
712,772,mr. browning...,841,LAWYER,84,mr. browning...
713,773,...maurice fischer's policy is always one of avoiding litigation.,841,LAWYER,84,...maurice fischer's policy is always one of avoiding litigation.
714,774,"well, shall we voice your concerns with maurice directly",841,BROWNING,84,"well, shall we voice your concerns with maurice directly"
715,775,not sure that's necessary.,842,LAWYER,84,not sure that's necessary.
716,776,"no, no, no.",843,BROWNING,84,"no, no, no."
717,777,i think we should.,843,BROWNING,84,i think we should.
718,778,how is he,845,BROWNING,84,how is he
719,779,"i don't want to bother him unnecessarily, but...",845,BROWNING,84,"i don't want to bother him unnecessarily, but..."
720,780,"robert, i told you keep out the damn...",846,MAURICE,84,"robert, i told you keep out the damn..."
721,781,wait.,846,MAURICE,84,wait.
722,782,so do it.,846,MAURICE,84,so do it.
723,783,get...,846,MAURICE,84,get...
724,784,nurse mr. fischer.,848,NURSE,84,nurse mr. fischer.
725,785,put it through.,848,MAURICE,84,put it through.
726,786,"never, never.",849,MAURICE,84,"never, never."
727,787,never do the same as i asked.,849,MAURICE,84,never do the same as i asked.
728,788,leave that.,851,MAURICE,84,leave that.
729,789,here.,852,MAURICE,84,here.
730,790,must be a cherished memory of his.,854,BROWNING,84,must be a cherished memory of his.
731,791,i put it beside his bed.,855,FISHER,84,i put it beside his bed.
732,792,he hasn't even noticed.,855,FISHER,84,he hasn't even noticed.
733,793,robert...,856,BROWNING,86,robert...
734,794,...we need to talk about a power of attorney.,856,BROWNING,86,...we need to talk about a power of attorney.
735,795," i know this is hard, but it's imperative...  not now, uncle peter.",857,BROWNING,86," i know this is hard, but it's imperative...  not now, uncle peter."
736,796,the vultures are circling.,857,EAMES,86,the vultures are circling.
737,797,"and the sicker maurice fischer becomes, the more powerful peter browning becomes.",857,EAMES,86,"and the sicker maurice fischer becomes, the more powerful peter browning becomes."
738,798,i've had ample opportunity to observe browning...,858,EAMES,86,i've had ample opportunity to observe browning...
739,799,"...and adopt his physical presence, study his mannerisms, and so on and so forth.",859,EAMES,86,"...and adopt his physical presence, study his mannerisms, and so on and so forth."
740,800,"so now in the first layer of the dream, i can impersonate browning.",860,EAMES,86,"so now in the first layer of the dream, i can impersonate browning."
741,801,and suggest concepts to fischer's conscious mind.,861,EAMES,86,and suggest concepts to fischer's conscious mind.
742,802,"then, when we take him a level deeper...",862,EAMES,86,"then, when we take him a level deeper..."
743,803,...his own projection of browning should feed that right back to him.,862,EAMES,86,...his own projection of browning should feed that right back to him.
744,804,so he gives himself the idea.,863,ARTHUR,86,so he gives himself the idea.
745,805,precisely.,864,EAMES,86,precisely.
746,806,that's the only way it will stick.,864,EAMES,86,that's the only way it will stick.
747,807,it has to seem selfgenerated.,864,EAMES,86,it has to seem selfgenerated.
748,808,"eames, i am impressed.",865,ARTHUR,86,"eames, i am impressed."
749,809,"your condescension, as always, is much appreciated, arthur, thank you.",866,EAMES,86,"your condescension, as always, is much appreciated, arthur, thank you."
750,811,were you going under on your own,873,ARIADNE,86,were you going under on your own
751,812,"no, no, i was just, uh, running some experiments.",874,COBB,86,"no, no, i was just, uh, running some experiments."
752,813,"i didn't realize anyone was here, so...",874,COBB,86,"i didn't realize anyone was here, so..."
753,814,"yeah, i was just...",875,ARIADNE,86,"yeah, i was just..."
754,815,"i was working on my totem, actually.",875,ARIADNE,86,"i was working on my totem, actually."
755,816,"here, let me take a look.",876,COBB,86,"here, let me take a look."
756,817,"so you're learning, huh",878,COBB,86,"so you're learning, huh"
757,818,an elegant solution for keeping track of reality.,879,ARIADNE,86,an elegant solution for keeping track of reality.
758,819, was it your idea,879,ARIADNE,86, was it your idea
759,820," no, it was, uh...",879,COBB,86," no, it was, uh..."
760,821,"it was mal's, actually.",880,COBB,86,"it was mal's, actually."
761,822,this...,880,COBB,86,this...
762,823,this one was hers.,881,COBB,86,this one was hers.
763,824,she would spin it in the dream and it would never topple.,881,COBB,86,she would spin it in the dream and it would never topple.
764,825,just spin and spin.,883,COBB,86,just spin and spin.
765,826,arthur told me she passed away.,885,ARIADNE,86,arthur told me she passed away.
766,827,how are the mazes coming along,886,COBB,86,how are the mazes coming along
767,828,each level relates to the part of the subject's subconscious...,887,ARIADNE,86,each level relates to the part of the subject's subconscious...
768,829,...that we are trying to access.,887,ARIADNE,86,...that we are trying to access.
769,830,"so i'm making the bottom level a hospital, so fischer will bring his father.",887,ARIADNE,86,"so i'm making the bottom level a hospital, so fischer will bring his father."
770,831,"you know, l... actually, i have a question about this layout.",887,ARIADNE,86,"you know, l... actually, i have a question about this layout."
771,832,"no, no, no.",889,COBB,86,"no, no, no."
772,833,don't show me specifics.,889,COBB,86,don't show me specifics.
773,834,only the dreamer should know the layout.,889,COBB,86,only the dreamer should know the layout.
774,835,why is that so important,890,ARIADNE,86,why is that so important
775,836,in case one of us brings in our projections.,891,COBB,86,in case one of us brings in our projections.
776,837,we don't want them knowing the details of the maze.,891,COBB,86,we don't want them knowing the details of the maze.
777,838,you mean in case you bring mal in.,892,ARIADNE,86,you mean in case you bring mal in.
778,839,"you can't keep her out, can you",893,ARIADNE,86,"you can't keep her out, can you"
779,840, right.,893,COBB,86, right.
780,841, you can't build...,893,ARIADNE,86, you can't build...
781,842,"...because if you know the maze, then she knows it.",894,ARIADNE,86,"...because if you know the maze, then she knows it."
782,843,"well, she'd sabotage the whole operation.",895,ARIADNE,86,"well, she'd sabotage the whole operation."
783,844," cobb, do the others know",896,ARIADNE,86," cobb, do the others know"
784,845, no.,896,COBB,86, no.
785,846,"no, they don't.",896,COBB,86,"no, they don't."
786,847,you've gotta warn them if this is getting worse.,898,ARIADNE,86,you've gotta warn them if this is getting worse.
787,848,no one said it's getting worse.,899,COBB,86,no one said it's getting worse.
788,849,i need to get home.,901,COBB,86,i need to get home.
789,850,that's all i care about right now.,901,COBB,86,that's all i care about right now.
790,851,why can't you go home,902,ARIADNE,86,why can't you go home
791,852,because they think i killed her.,903,COBB,86,because they think i killed her.
792,853, thank you.,904,COBB,86, thank you.
793,854, for what,904,ARIADNE,86, for what
