,sentence
847,There was this one month where she bought me 43 stuffed animals.
848,The doctor thought I was gonna spontaneously grow a vagina.
849,"I didn't, though, just to be clear."
850,"Yeah, because you already had one."
851,Exactly. I already had one.
852,And you don't need two vaginas. You just don't.
853,Although you could use one as a coin purse.
854,I never got any stuffed animals growing up.
855,"Wait, actually, that's not true. I did."
856,My dad gave me a stuffed puppy the day he bailed on us.
857,I'm just fucking with you.
858,That is a weird joke.
859,I thought your dad abandoned your family.
860,"No, he did walk out on us, though."
861,But he didn't even leave me a stuffed puppy.
862,Just broken dreams.
863,"Oh, man. Well, I guess, to that, I would say,"
864,"well,"
865,"that there are some good guys out there,"
866,"and I wouldn't let, you know, one experience"
867,taint your memory.
868,"Oh, my God."
869,Are you getting choked up I'm sorry if I made you upset.
870,"No, it's just, you know, I don't like when guys are mean to girls."
871,"Yeah. Well, thanks."
872,Normal transition here.
873,"Actually, I'm having a party next weekend. You should come"
874,"You and Eric and Juario, whatever."
875,"Do you mind if I just put, like, a posting on Facebook"
876,"Okay. Yeah, yeah"
877,I should call you back.
878,"Well, all right, I'll see you at school. You're a great person."
879, Byebye. Bye.  Bye.
880,What the fuck are you
881,Are y'all throwing a party
882, What  There's rumors in the Twittersphere.
883,And if any of my officers
884,"are caught giving alcohol to minors,"
885,they'll find theyself in prison
886,with a snorkel ducttaped to they mouth
887,and me shitting down that snorkel.
888,That's extremely vivid. Thank you.
889,You're the best. You are the best.
890," Oh, my God.  We love you."
891," Enjoy the vineyard.  You boys be good, now."
892,"Yeah, I can't believe you guys did this for us."
893,Bye;
894,"""We love you"" What are you doing Why you saying ""I love you"" to my mom"
895, I'm in character. Shut up.  It's weird.
896,"Look, dude, it's kind of like we're brothers."
897,"Wait, how are we going to buy alcohol"
898,"Dude, I don't have a fake ID."
899,How are we going to get drugs for the party
900,"Oh, no."
901,We got a pound of coke.
902,"We're trying to show them a good time, not ruin their fucking lives."
903,Pound of marijuana
904, Best party ever.  Booyah
905,To a brilliant idea
906,from my brilliant brother
907,that I love so very much.
908,And this is going to fucking rock.
909," Cheers, man.  Cheers."
910, Who invited you guys  I did
911,The party's here
912," What's up, Zack  Hey, buddy."
913,"What's up, Roman"
914,"This is crazy. This is, like, the craziest thing I've ever been a part of."
915,"Where is Eric, man He said he'd be here."
916,Do we have enough chips
917,Is this playlist too dancey
918, Feels too dancey.  Too dancey
919," What are you talking about  I don't know, it just feels dancey."
920,What are you doing
921," That's my mom's Kokopelli vase.  I got it, I got it."
922,"Doug, Doug, hey"
923,"Hey, Paul Blart: Molly Cop."
924,Such a bad joke.
925,"Terrible, terrible."
926," You guys know each other, right  Yeah."
927,"Get ready, get ready, there's Eric. Wait for the signal."
928,And then you come in here looking like a rocksolid 10.
929,What
930,"What's up, man, how you doing"
931,Eco Suave.
932,Whoa.
933,"Wow, so I'm really digging this decor."
934,Very Native American.
935,"Yeah, our parents are actually"
936, really into Native American  Let's rock and roll.
937, Sorry.  What are y'all doing
938, Come on.  Did you guys even see Eric
939,"Seriously, did you not see Eric"
940,"No offense, man, but your brother sucks."
941,"Yo, this is butt. There's, like, no hot dudes here."
942," Man, let's bounce.  We're out of here, man."
943,"No, no, no, come on, you guys just got here, you just got here."
944,"Come on, let me at least give you a tour."
945,"Okay, boys, come on, we did it, we can do this, just go,"
946,just go as fast as you possibly can.
947,Taking out the SIM card.
948,Taking down Eric with the SIM card information.
949,"Come on,  the shit out of this thing."
950, Are you drunk  No.
951,Have you even been drunk before
952," No, but  Give me this."
953, What  Can we get some bitches up in here
954,'Cause it's just boys right now.
955,"No, you can't get any bitches up here."
956,This is my parents' bedroom.
957," What the fuck, bro Some privacy  Shit, shit, shit"
958,And that is a really gross threeway.
959,But what was the girl in the back doing
960,Warehouse rave in Ellsworth.
961,"Cool, yeah."
962,"Hey, man, thank you for the hospitality,"
963,"but we got to get going. You know how it is, yeah"
964,"Dude, tell me about it."
965,Is it ready He's gonna leave right now.
966,It's extracting right now.
967,"Dude, it's now or never Is it ready or not"
968,"Read this. ""Please wait. Extracting data from SIM card."""
969,Shit It's a bust.
970, Keep it casual.  Yeah.
971," Go with the flow, dude.  Cool, man."
972, I don't like to make plans or whatever.  You got it.
973," Thank you again, though, man.  All right."
974,"Eric, Eric, Eric. Hey, man, what's up"
975,"Hey, why you here, Scott"
976,"What, Kennedy High isn't having any parties tonight"
977,"No, I heard you guys were partying with some new stuff."
978,Wanted to know your hookup so me and my boys can get in on it.
979,"Got other commitments on that front, so, you know"
980,I wasn't asking.
981,"Whoa, whoa, whoa, whoa, whoa, whoa, whoa."
982,"Take five, take five, man, let me get this. I got this."
983, Yeah You sure  I got this one.
984,"Hey, big player, I don't know who you are."
985, Don't worry about who I am.  I'm worried about it.
986," Why  'Cause you're at my party right now, dude."
987,"This is my temple, this is where I come to find peace, dawg,"
988,"and you're coming in here like an emotional bull in a china shop,"
989,"metaphorically knocking over vases, messing with my crew,"
990,"and I'm like, ""What, Scott, what, Scott, what, what, what, what, Scott"""
991," It's that kind of party  Yeah, dude."
992,"Matter of fact, it's getting hot in here, huh"
993," No, it's getting real.  It's getting very real."
994,Yeah. It's like seven strangers living in one house. True story.
995," You want Real World  Yeah, let's do it, man."
996, Come on. What's your Real  Here's Real World.
997,What was that Did you hear that
998,Real enough for you
999,Schmidt. Doug.
1000, What do I do  Hit him
1001,Shit That hurt worse than when he hit me
1002,Fight normal.
1003,"Yo, I'm serious."
1004,Sorry.
1005, I'll fucking kill you  I'm sorry I'm very sorry
1006,"Seriously, use your words, use your words"
1007,I kicked him in the nuts.
1008,"Fight's over, dude Fight's over Fight's over"
1009,"No, watch my mom's shit, man"
1010, I'm gonna fucking kill you  You'll knock over my mom's vase
1011, Fuck your mom's vase  Fuck this
1012,"Oh, Shit"
1013,Yeah
1014,That's my brother
1015, That was insane  You're so cool
1016,Did you see that shit That was crazy.
1017,"Oh, Shit,"
1018,when did I get stabbed
1019,That's awesome.
1020,Yeah
1021,Is that a cop
1022,Where
1023,"No, it's not. Here."
1024,I'm so glad we're going back to get my phone.
1025,I just hope we don't wake up Schmidty.
1026,"Oh, my God, he's a policeman now."
1027,It's like we're living with a narc.
1028,The boy is an angel.
1029,Pull it out
1030,Pull it out Pull it out Pull it out
1031,Sorry
1032,"Okay, let's take some shots."
1033,"Shots, shots"
1034,That's like us fucking Mother Earth without a condom.
1035,What the fuck is going on
1036,"Annie, hang on."
1037,Are you fucking kidding me
1038,Get out of my house. I said get out The party's over
1039,"I'm sorry, Mom, I'm sorry"
1040,The mom is coming
1041, Listen to me  Chill out Chill out
1042, Let go of me  You're embarrassing me
1043," in front of my friends  Get back here, you shit"
1044,"Dude, that was so crazy, man."
1045,"I swear, best party I've been to in years."
1046,"Dude, I'm doing crazy stuff like that,"
1047," like, all the time, man.  I bet you are."
1048,"Dude, I'm so amped right now, God"
1049,"You, dude, I like you, man."
1050,How do you feel about making a little extra money
1051,"Whatever it is, I'm in."
1052,"All right, here's the deal."
1053,"Okay, I can't sell all this shit on my own, but I only bring in people I like."
1054,"Okay, you do good, maybe we bring you in on what we're doing,"
1055,I introduce you to my hookup. How's that sound
1056, Cool with me.  My man.
1057,That is my man
1058,That was nuts. I lost you guys.
1059,"Hey, thank you again for the party, man."
1060,"Yo, yo."
1061,Come on
1062,"""I love dick"""
1063,You think that's funny
1064,"""Wonder Years douche"""
1065,What kind of a sick animal draws
1066,an ejaculating penis into an 8yearold's mouth
1067,"It's arguably, like, an airplane throwing up."
1068,You think I don't know that's a dick and balls
1069,I know all about dick and balls
1070,"I partied with Robert Downey Jr. before he got sober,"
1071,when he was really fucked up and a lot of fun
1072,"You know what From now on, you're gonna do some chores."
1073,"You're gonna wash the laundry, you're gonna fold it,"
1074,"you're gonna do the dishes, you're gonna mow the lawn"
1075,"Dude, I have a surprise for you."
1076,"Last night at the party, I took Eric's phone"
1077,"and I had Zack put this monitoring device in it,"
1078,so we're gonna get to hear every single thing that little prick is up to.
1079,"Dude, I don't know if that was a good idea."
1080,What
1081, What if you had gotten found out  But it worked.
1082,"This is, like, the smartest move I've ever pulled,"
1083,"so, I'm sorry, what are you getting mad at me for"
1084,I'm not getting mad at you. I'm glad you have something to do.
1085,Good.
1086,What's up
1087,"Great job, Schmidt."
1088, Password  Kneel before Zod
1089,You may enter.
1090,"Thank you, Zod."
1091,"Let's tap that wire, huh"
1092,We were just about to go outside with a bunch of chemicals.
1093,We were going to test what blows up.
1094,"There's no reason the wiretap is super urgent, right"
1095,Not that I can think of that would make sense.
1096,"Go for it, go for it."
1097," Look out.  Go, go, go"
1098,Yes
1099,"Yes, that's what I'm talking about"
1100,That's what I'm talking about
1101,I love this science shit
1102,This is what you guys do all day Let's do it again.
1103,Are you texting Molly
1104,What
1105,I don't Molly
1106,Maybe. Is that
1107,"Whoa, it's cool, man, come on."
1108,"I'm not some, like, '50s letterman who pins a girl."
1109,"I mean, yeah, we blow each other sometimes, but it's not a thing."
1110,"I just, like I don't know, I don't believe in possessions, ja feel"
1111,"Ja feel, ja definitely feel."
1112, Yeah.  Schmidty
1113,Schmidty
1114,Phyllis.
1115," I'll be right back, dude.  Okay."
1116,Hey. How are you
1117, How is my favorite police officer  Okay.
1118,Your mother told me that you are undercover.
1119,"Listen, now is not a really good time."
1120,Are you undercover right now
1121,"Yes, it means I'm undercover right now."
1122,Are those the bad guys over there
1123,"Do they have guns Oh, my God. Oh, God, this is so exciting."
1124,I have got to call Annie. She is gonna die.
1125,I heard that that Jenko boy is your partner.
1126," Where is my phone  Okay, okay."
1127,Shut your fucking mouth.
1128,"Shut your fucking mouth, you understand me"
1129,Let's go check this out.
1130,I will straightup punch you in the face if you do not shut up.
1131, There is no  A straightup face punch.
1132,"I swear to God, you're gonna get me killed."
1133," Hey, yo.  That is"
1134,"Shit She just tried to grab my dick, dude"
1135, What You tried to grab his  She tried to grab my junk.
1136,"She was like, ""Oh, my God, I have arthritis,"""
1137,"""it hurts my hand, I need to grab a handful of that dick."""
1138,"I was like, ""Get the fuck off me"""
1139,"She said, ""I need to grab a handful of that dick"""
1140,"And it felt good, but then it felt weird for a second,"
1141,so I pushed her. We got to get out of here.
1142,"All right, cool, let's get the"
1143,So your parents are just cool with having people over whenever
1144,"Yeah, you know, they're out most nights."
1145,Pretty laissezfaire about the whole thing.
1146,You're so lucky your parents don't give a shit about you.
1147,Right
1148, This place is awesome.  Yeah.
1149,Hey.
1150,"Hey, what's up"
1151,How's it going
1152,"Wow, that's a bigger hug than I was expecting."
1153,Sorry. I'm happy to see you.
1154,"Yeah. Yeah, me, too."
1155, Hey.
1156,Good
1157," All right, come on.  Yeah, let's"
1158,"I brought tacos, so that's cool."
1159,"Try to turn it, try to turn it, spoiler alert."
1160,"Spoiler alert, spoiler alert"
1161,"Hey, boys, this ecopussy is going down today."
1162,Take down ecopussy.
1163,Take down ecopussy
1164,"Mother Earth, Mother Earth is dying."
1165,And when it rains.
1166,It means that beautiful bitch is crying.
1167, It's really not a planet.  It's for sure a planet.
1168,Pluto is a planet.
1169, It's ready  It used to be a planet.
1170, It's ready.  Not anymore.
1171,"Reduce, reuse."
1172,Recycle
1173,I'm embarrassed.
1174, I always feel exposed after playing.  Do not feel exposed.
1175,I got to use the bathroom.
1176," Is it in there  Yeah, yeah, right up there, dude."
1177,"All right, all right, all right, all right. God damn that."
1178,The mic is live and we can hear how the other half lives.
1179,What are you doing
1180,I heard something.
1181,"Hey, can I ask you something Sit down."
1182,Okay.
1183,I just want to make sure that you and Eric are going to be careful
1184,with whatever it is that you're getting involved in.
1185,"Yeah, I promise we will."
1186,"It would just suck if something bad happened,"
1187,because you're a good guy.
1188,"Yeah, no, I feel the same way about you,"
1189,except girl version.
1190,You're a girl.
1191, I am.  Yeah.
1192,"That's why I put this dress on,"
1193, to remind you.  Exactly.
1194, Are you excited about the play  Yes.
1195,"Yeah, you were just"
1196, right in there with excitement.  Yes.
1197, No hesitash.  I'm very excited.
1198,Yeah.
1199,Does that make me a super nerd
1200,"No, not at all."
1201,We get to act together.
1202,What a vagina. He has no chance with her.
1203,So
1204, Shit.  Sorry.
1205,You're on the prom committee.
1206,Do you think it's going to be fun
1207,Did she just bring up prom on her own
1208," She did, she just brought up prom.  What is she doing"
1209,I think it's going to be awesome.
1210, Prom eats a dong.  Multiple dongs.
1211,"All right, anyone who says"
1212,they don't care about prom actually secretly does.
1213,Who we gonna take to the prom No one's going to prom with us.
1214,"Come on, picture it. You pull up in a white stallion of a limo."
1215,You got fineass honeys with you.
1216,You're dressed to the nines with your best buds.
1217,"Doves fly out behind you, slow motion."
1218,Doves. Why doves
1219,"'Cause doves make you look like a badass, that's why."
1220,"I am pretty skeptical,"
1221,"but maybe, if someone fun asked me, I would go."
1222,Aren't Isn't Aren't you and Eric
1223,Wouldn't you and Eric go together
1224,Not that I know of.
1225,Would you
1226,He's going to choke.
1227,"He always chokes. He's going to choke, wait for it."
1228,So would
1229,So would
1230,Would you
1231,Mayb
1232," Oh, my God. Are you okay  Yeah."
1233,That is the actual sound of choking.
1234,I was wondering if you
1235,Would you
1236,maybe want to go
1237,with me to prom
1238,Would you want to go to me Maybe with me to prom
1239,Yes.
1240,I would love to go to prom with you.
1241,What She just said yes
1242, Whoa.  Wow.
1243,"Good for you, Doug."
1244,Thank you for asking.
1245,"Put her there, man."
1246,Just put Put it right there.
1247,I'm putting it right there.
1248,Yeah. There you guys are.
1249,"What's up, my man"
1250, Hi.  How you doing
1251, Whazzup  Yeah.
1252,"Doug Okay, settle an argument."
1253,"You and your brother aren't related, right"
1254,'Cause you look totally different.
1255,He's adopted.
1256,We all suspect from a very lame family.
1257,Where is he tonight
1258,Probably at home with those lame tools he hangs out with. I don't know.
1259,You know how Tom Cruise is always pissed off at Rain Man
1260,"That's like my life, except Brad is really shitty at math."
1261,Your brother's kind of a dick.
1262,"Well, yeah,"
1263,"he kind of is, isn't he"
1264,Don't listen to that.
1265,I don't give a fuck.
1266,"Dude, Eric is the funniest IMer."
1267,"Oh, fuck."
1268,"Hey, guys. It's so funny seeing you here."
1269,"How are you Guess what, I don't care."
1270,We just closed our third high school operation.
1271,And check what we found at Kennedy.
1272,Looks like we're going to have to do your job for you.
1273,"Your drugs is spreading to different schools now, sucker."
1274,"You failed to stop the outbreak, and you have no leads"
1275,We are running out of time
1276,"You either find the supplier,"
1277,or I'm gonna jump your asses off Jump Street
1278,"I totally understand where you're coming from, sir,"
1279,"but, look, I heard Eric talking on the phone yesterday"
1280,with somebody that sounded very suspect
1281,about meeting up with a stuffed piñata.
1282,Is that a code for sex
1283, Piñata Really  Yep.
1284,Remember that wiretap I put on Eric's phone
1285,"While you were having the time of your life last night, I was listening."
1286,I overheard a phone call between Eric and some dude about a piñata.
1287,That's all you heard
1288,Yep.
1289,I am so nervous.
1290,We are about to premiere in front of the whole school.
1291,I apologize in advance if I throw up on you onstage.
1292,"Serious question, though."
1293,How do I look
1294,Ravishing.
1295,Is it too sexy of an outfit
1296,Bend the knee a little bit.
1297,"Yep, it is."
1298,It's going to be so much easier having you onstage with me.
1299,I am so happy that I met you.
1300,"You're, like, the only guy that I can really trust."
1301,Yep. That's me.
1302,Doug.
1303,Potassium nitrate.
1304,Don't hate. It's great.
1305,It can act as an oxidizer.
1306,"I didn't know that, but now I'm wiser."
1307,It has a crystalline structure.
1308,"If you can't respect that, you're a butt muncher."
1309,It's a key ingredient in gunpowder.
1310,"KNOthree, don't give no grief."
1311,It can be used to make corned beef.
1312,It's also known as saltpeter.
1313, Brad  Shit.
1314,Where are you going
1315,I don't want to look like it's like I'm wearing makeup.
1316, Right.  Doug Hi.
1317,Brad
1318,Whoa. What are you wearing
1319,Potassium nitrate. Thanks for noticing.
1320,I need to borrow you.
1321,"Now's not a good time, Brad."
1322,It's a really good time.
1323,'Cause my piñata is killing me.
1324,Is that code for a sex thing
1325,It's leaving the parking lot.
1326,Piñata
1327,"Molly,"
1328,"I will be right back. I need to help Brad with something, okay"
1329,I just need to help Brad with something real quick.
1330, What No. What  I promise you
1331,Do you understand how soon the show is starting
1332,I swear to you I will be back in time for curtain.
1333, I swear. I swear to you.  Tell me you understand how soon
1334,What Are you kidding me
1335,What did I say What did I say
1336,"See Whose wiretap is working for him now, huh"
1337,Shit.
1338,Fuck
1339,You told me not to worry about the tickets
1340,I thought they made us look cool.
1341," Cones, cones  Driver's ed car."
1342," I'm driving.  No, you're not."
1343, I never get to drive. I'm driving this time.  Fine Drive
1344," Hey, guys.  Just borrowing this for one sec."
1345," Sure.  Go. Go, go, go, go."
1346,"Guys, hey, wait. Guys, you're not on the list."
1347,"Hey, guys, wait Who cares"
1348, Holy fucking shit.  No fucking way.
1349,Those are the guys from the park.
1350,That's just too crazy.
1351,What do you think's in that thing
1352,"I don't know, money, drugs."
1353,"They could be a new buyer, or they could be the supplier."
1354,"If it's good, you'll hear from me."
1355,"If it's not good, you'll hear from me about telling you how it's not good."
1356,Makes sense.
1357," Get the fuck out of here.  Yeah, no worries, man."
1358,I'll see you guys.
1359,"We definitely got to follow them and find out, though."
1360, Get down Get down  Get down Get down
1361," What are you doing  If they see us,"
1362,just pretend like you're sucking my dick.
1363, What No  Yes. Stop.
1364,You pretend like you're sucking my dick.
1365,"No, just pretend like you're sucking my dick."
1366,Why am I automatically blowing you
1367,'Cause you're in a fucking Peter Pan costume
1368,Okay.
1369,"Okay, let's go. Let's go, let's go."
1370," Go, go, go.  Okay, fine, we'll follow them."
1371,But we need to be back in 30 minutes for curtain.
1372,"Dude, did you just hit the teacher brake"
1373,"Yeah, you're following too close, dude."
1374," They're going to make us.  Well, if I go too far back,"
1375,"it's going to look even more suspicious, so just stop."
1376,"God, just let me do my thing."
1377,I know what I'm doing.
1378,"Seriously, if you do that again, I'm going to WhacAMole you in the balls."
1379,Just stay back.
1380, I could not be more serious.  Take your foot off the brake.
1381, No. I'm not No.  Take your foot off the brake
1382,"Oh, Shit Oh, Shit"
1383, Look what you did  Look what you did
1384,What the fuck You nondriving motherfuckers
1385,Get the fuck out of the car
1386," Oh, fuck.  Lock the door Lock the door"
1387,What do I do Go away
1388,"What are you, a fucking Keebler Elf"
1389,Get him out of that car
1390," No, no  It's fucking ZZ Top"
1391," No, no No, no, no  It's fucking ZZ Top"
1392,Like an angry Walrus
1393," I stomp the car now  Oh, my God"
1394," Stomp Stomp  Oh, shit."
1395," Okay. Okay.  Oh, my God Stop, dude Go"
1396,"Oh, my God Oh, my God"
1397, Just let me drive  Stop hitting me
1398,"Dude, watch out"
1399,Will you stop frontseat driving Get your hands off the wheel
1400,"Man, you just hit two people back there"
1401, You stop. I'm not  Take your hands off. Shit
1402," We're stuck in traffic  Oh, shit."
1403," Shit, they're coming They're coming  What"
1404,"Oh, my God, dude."
1405,What do we do
1406,What the What the
1407,"Oh, Shit. Oh, Shit."
1408,"Oh, Shit."
1409," Oh, shit.  What's wrong with you Run"
1410,I can't I'm wearing tights
1411,I got skinny jeans on It's the same fucking thing
1412,"They're going to make us, or kill us."
1413," Porsche Porsche  Police Get out of the car, douche"
1414,"I'm on a call here, jackass."
1415,"That's right. Go to sleep, bitch. You just got headbutted, motherfucker"
1416," Go, go, go, go, go, go  Shit."
1417,"Check around for a gun or something, all right"
1418,Where Where There's no glove compartment
1419,in this shittyass car There's golf balls and this.
1420," What am I supposed to do with this  I don't know, man"
1421,I've never been in a freeway chase before
1422,Watch out It's going to explode It's going to go
1423, What happened  I don't know.
1424, It just didn't explode.  That's weird.
1425,Can anybody tell me where my Peter is
1426,"French You're not my first choice, but I need you to go on as Peter."
1427,"Oh, gosh. And I've been in character for months now."
1428,Great. Nobody cares.
1429,Come on Another traffic jam
1430,I'm sorry I didn't check the traffic report
1431, before we got in a car chase  Let's go Come on
1432," Come on. Let's go, let's go, let's go  Shit"
1433," Are you texting  No, I'm not texting"
1434," Yes, you are You're texting  No, I'm not"
1435,"Okay, almost done."
1436,"""LOL."""
1437,I'm driving
1438,Why do you always jump over the car like that
1439,Hi. Hi. How are you
1440," Hi.  God damn, you are beautiful."
1441, Oh. Hi.  You are fine as shit.
1442,Don't worry. Someone will pick you up.
1443, Wow.  Hurry. Just drive.
1444,Wait. Pick me up
1445, They're coming They're coming  I got an idea.
1446,Why don't you text them and ask them to stop chasing us
1447,"Oh, Shit"
1448,He's got a gun
1449,I'm going to throw this thing at him
1450,"Okay, you don't have to narrate everything"
1451," Just throw it  Okay Okay, okay"
1452," It's going to explode  Oh, my God Roll up the windows"
1453, What the fuck is that going to do  Roll it up
1454," I don't fucking care Just do it  Oh, God"
1455,I really thought that one was going to explode.
1456,"Oh, Shit"
1457,Look in the glove compartment for a gun.
1458,What are you talking about We're in a pink Bug
1459,I don't care. Look in the goddamn glove compartment
1460,What the hell
1461," Shoot.  Oh, my God. Okay Okay"
1462,Shoot the gun Shoot the gun
1463,"Can't get a good shot, man I can't get a good shot"
1464," Shit, shit, shit, shit, shit, shit, shit.  Take the shot"
1465,Take the shot Just shoot him Let's go
1466,"Shit, Shit, Shit, Shit, Shit, Shit, Shit."
1467," Shoot Shoot  Shit, shit"
1468,That's what exploded Holy shit. That was crazy.
1469,Why did you shoot for me
1470,"You weren't shooting, you were choking,"
1471, so I had to save us.  I was going to shoot.
1472," You always do this, every single time.  What"
1473,"Seriously, just take me back to school, man."
1474,"If I miss this play, Molly's going to freak out and she's not going to go to prom with me."
1475," Are you fucking serious right now  Fuck, yes, I'm serious"
1476,Can't believe you made me late. You're so selfish.
1477," I'm selfish  Yes, you're selfish"
1478,Are you fucking kidding me
1479,Look at yourself
1480,"You're in too deep, man."
1481,"Yesterday, I found a college application on your desk"
1482,I don't know how long this case is going to last.
1483,"And Eric's going to get into Berkeley, and, honestly, I can get in, too."
1484,Who knows I could ride this thing out. I could be a doctor or something.
1485,Have you lost your fucking mind
1486,You screwed this investigation all up.
1487,"At least I know my Miranda rights, you idiot."
1488,You are a very silly man indeed.
1489,"Boys, squaws, come quickly."
1490,Hey Sorry It's okay. I'm here.
1491,I know I missed the first few scenes.
1492,I want to thank Give it up to French Samuels
1493," for ably backing me up.  Fuck you, Doug What"
1494,"I say we just roll right into this thing, huh"
1495,This is my twin. We're together in
1496,Get the fuck out of here.
1497,What are you doing Have you completely lost your mind
1498,What is this
1499,"I don't know, but it's already more exciting."
1500,You're embarrassing me.
1501,It's okay. I'll make it up to you.
1502,And Let's fly
1503, Such bullshit  Get off of me
1504,I'm not dumb I'm smart
1505,You think I'm stupid You're stupid
1506," Go, Doug  I guess I should do something."
1507,I should probably not just stand here watching.
1508,I should take action.
1509,Worst best friend ever
1510,"Molly, I'm sorry"
1511,I don't want to talk to you ever again.
1512,I'm sorry.
1513,You stupid idiot
1514, Come here  Come on
1515,Make fun of me behind my back and everybody laughs at me
1516,I was a loser for four years You couldn't handle it for five minutes
1517,"Have some fairy dust, motherfucker"
1518,"Hey, guys, no"
1519,"I heard you call me Rain Man, you asshole"
1520,Principal Dadier sucks dick
1521,You're supposed to be my friend
1522,Stop Stop it. You're expelled. Both of you are expelled.
1523,And that's the end of Act Two.
1524,Is that it You're not going to scream at us
1525,Nope.
1526,I'm gonna just fire you.
1527,Moving out
1528,Yep
1529,You know what's crazy to me
1530,is that I think that I actually thought that we were brothers.
1531,I would've tooken a bullet for you.
1532,Get in now. Both of you.
1533,Why should I
1534,"Just get in the car, man."
1535,Get in the fucking car.
1536,"Nope, not until you ask nicely."
1537,Please get in the car.
1538,"Come on, you guys. Come on. Please. Jesus."
1539,Some messed up shit went down yesterday.
1540,"Yeah, after we made the exchange,"
1541,our potential business partners got followed by some fucking cops.
1542,"That's insane, man."
1543,Are you serious
1544,"Okay, it's just I don't want to go to jail"
1545,You know what happens to a handsome guy like me in jail
1546,"It rhymes with ""grape"""
1547,"It rhymes with ""grape"""
1548,I can't let that happen.
1549,So I got these from my dad's gun cabinet.
1550," Eric, Eric, Eric, Eric.  Whoa. Come on. Whoa."
1551,"Springfield.45s, police issue. Very powerful guns."
1552,You ever use one
1553," We're not really gun people, man. No.  No"
1554,A lot of things have made me wonder about you.
1555,Come on.
1556,Your taste in music.
1557,The fact that you look like a fucking 40yearold man.
1558,"Then after that shit at the play, I realized"
1559,there's no way you guys could be cops.
1560,"Yeah, I got this deal going down. The supplier's going to be there."
1561,I need people I can trust.
1562,"All right. All right, come on."
1563,"Okay, right over here, we're going to shoot these bottles."
1564," We're going to practice, okay  Okay."
1565,That was That was actually really fuckin' awesome.
1566,Beginner's luck.
1567,All right.
1568,The supplier wants the deal to go down at prom.
1569,"All right, there's going to be all these heavies there,"
1570,but as long as you guys have my back
1571,Yeah Yeah Shit.
1572,I always got your back.
1573,Time to get our jobs back.
1574,Let's get ready for prom.
1575,Schmidty Chore time
1576,"Mom, we don't have time for chores right now"
1577,"If you stay in this house, you have time for chores"
1578,Mom
1579,Fuck this thing.
1580,Here.
1581,It'll be quicker if I help.
1582,There you go.
1583,Thanks.
1584,Your shotgun's hanging too low.
1585,They're gonna see it.
1586,Thanks.
1587,Jenko
1588,Will you go to prom with me
1589,I guess.
1590,Are we really going to take down a whole drug operation by ourselves
1591,I got some contacts that'll help us.
1592,"Brad, what are you doing here You can't be here."
1593,What if the principal sees you
1594," This is wrong, yet so right.  What"
1595,I am so happy you're willing to get in trouble for me.
1596,"You have to go. Please, don't leave me ever."
1597,"Ms. Griggs, stop. Stop."
1598, Stay Stay.  Stop.
1599, What  Stay.
1600, Go  Okay.
1601, Stay.  Stop. Stop.
1602, I'm lost without you.  What
1603,Get out of me. I'm going to throw up.
1604,You are so hot
1605,All right.
1606,"Hey, pumpkin head."
1607,I'm very mad at you. Dance with me.
1608, Are you on that shit  So what if I am
1609,"Look, Molly, some serious stuff is about to go down,"
1610,and I don't want you to get hurt.
1611,"I've already been hurt, Doug. I don't care."
1612,You need to leave. You need to leave. You need to get out of here right now.
1613,Making a lot of hand gestures
1614,"Okay, my name's not Doug."
1615, It's Schmidt.  What
1616, And I'm a cop.  What
1617,"Okay, and I care about you, and I don't want you to get busted,"
1618,so you have to leave right now.
1619,"Leave the prom right now, Molly."
1620, I'm serious.  Hey. Hey.
1621,Penthouse now. Supplier's waiting.
1622," What are you  Come on. Hey, come on."
1623, Supplier's waiting.  Is that Eric
1624," Molly, leave right now.  What are you"
1625, Just leave right now  What is this
1626,Mr. Walters
1627,Hey
1628,"Beautiful Brad, and his brother."
1629,Wow. You look great.
1630,You're the supplier You're a teacher.
1631,"And I was stuck on a teacher's salary, bro."
1632,Could barely pay my alimony. What are you gonna do
1633,"Oh, yeah."
1634,You boys are so good at this.
1635,"Oh, yeah, Cinnamon"
1636,"Oh, my God, we're getting such good evidence."
1637,I stole some of that Bunsen burner crap
1638,"from the chem lab, threw in some of my Cool Deets,"
1639,and it was muy delicioso
1640,Then one day I catch Eco Buttmunch over here
1641,"smoking a J.J. behind the field house,"
1642,"and I'm like, ""Hey, you want to make some coin"""
1643,"What a green penis that guy is, huh"
1644,There's my quesadilla.
1645,I hurt my hands
1646,Bitch.
1647,"Oh, Shit."
1648,You guys look crazy scary.
1649,How many of you are there
1650,A lot.
1651,Karl.
1652,"Patch looks pimp, man."
1653,Thank you.
1654,"He's gonna recognize us, man."
1655,I'm freaking out.
1656,"This is Walters, he made the stuff."
1657, Real pleasure to meet you.  Fuck what his name is.
1658,Your shit's good.
1659,Thank you. That means a lot coming from you.
1660,"What, you having a party now"
1661,Who are these two motherfuckers
1662,Fuck
1663, Hey.  Hey. How's it going
1664,"Nah, nah, it's cool, man, they're my boys, so"
1665, Are they  Yeah.
1666,I don't like strangers.
1667,How do you ever expect to make any new friends with that attitude
1668,"It's, like, everyone's a stranger till you give them a chance, man."
1669,What the fuck are you talking about
1670,I don't even
1671,Just fuckin' around.
1672,"Do your thing, man. Proceed."
1673,"Hey, kid, come here."
