,sentence
1048,"Nnnnothing, you don't have to worry. I promise."
1049,What's this
1050,"It's nothing, it's just a poem."
1051,Just a poem
1052,That you were hiding in your underwear drawer
1053,Why would you have to hide it there
1054,Are you still my girl
1055,No.
1056,What did you say
1057,I said no
1058,No
1059,"Get away, no"
1060,"No, get off"
1061,No
1062,"Those boys, do they know that you're"
1063,Beverly
1064,Beverly
1065, Richie.  What do you want
1066,"You see that guy I'm hitting, I'm pretending it's you."
1067,IT got Beverly.
1068,What are you talking about
1069,"IT, Richie."
1070,IT got Beverly.
1071,Hello
1072,Okay
1073,I'll be there.
1074,And just where do you thing you're off to
1075,Out with my friends.
1076,"Sweetie, you can't go,"
1077,"you're getting over your sickness, remember"
1078,My sickness
1079,"Ok, what, what sickness, Mom"
1080,"Do you know what these are They're ""gazebos""."
1081,They're bullshit
1082,"They help you, Eddie."
1083,I had to protect you.
1084,Protect me
1085,By lying to me and keeping me locked inside of this hellhole
1086,I'm sorry but the only people trying to protect me are my friends.
1087,and you made me turn my back when I really needed them.
1088,So I'm going.
1089,Eddie. No.
1090,You get right back here.
1091,I'm going to see my friends. Eddie
1092,"Don't do this to me, Eddie."
1093,"Guys, spikes."
1094,Stan
1095,"Stan, we all have to go,"
1096,Bevvie was right.
1097,"If we split up like last time, that clown will kill us, one by one,"
1098,"but if we stick together,"
1099,all of us
1100,we'll win.
1101,I promise.
1102,"Eddie, you got a quarter"
1103,I wouldn't want to make a wish in that fucking thing.
1104,Beverly (echoing)
1105,How are we supposed to get down there
1106,Alright lets go.
1107,Alright buddy.
1108,"Guys, help"
1109, You're good  I'm fine.
1110,"Step right up, Beverly. Step right up."
1111,"Come change, come cold,"
1112,"You'll laugh, you'll cry, you'll cheer, you'll die"
1113,Introducing Pennywise the dancing clown.
1114,I'm not afraid of you.
1115,You will be
1116,Help me
1117,Go dead
1118,Mike
1119,Mike Mike
1120,"You okay, Mike"
1121,Bowers.
1122,Mike. Fuck.
1123, Mike  Where is
1124,We're next.
1125,No
1126,"Grab it, get the rope"
1127,Shit
1128,Mike
1129,Leave him alone
1130,You didn't listen to what I told ya did ya
1131,You should've stayed out of Derry.
1132,Your parents didn't' and look what happened to them.
1133,"I still get sad every time I pass that pile of ashes,"
1134,"sad,"
1135,that I couldn't have done it myself.
1136,"Run, Mike"
1137,Mike
1138,Down
1139,I shshshshould get up there.
1140,Are you insane With what
1141,Holy shit
1142, God   Mike
1143,I'm okay.
1144,I'm okay.
1145,Shit.
1146,Stanley.
1147,Beverly.
1148,Is that you
1149,Guys
1150,Guys
1151,"Come on, guys, where's Stan"
1152,Stanley
1153,Stanley
1154,Stan
1155,"Oh shit, gray water."
1156,Stan
1157,Stan
1158,Stanley
1159, Stan Wow Stanley
1160,Stanley
1161," Now come on, man  Here we go Quiet."
1162,Stan  Stanley Stan
1163,Your flashlight
1164,What the fuck is that thing
1165,Oh shit
1166,Fuck.
1167,Shit
1168,Holy shit
1169,Stanley
1170,Stanley Stan Stanley
1171,No
1172,It's okay.
1173,"You left me,"
1174,you aren't my friends.
1175,"You made me go, you made me go"
1176,I'm sorry.
1177,You made me go to Neibolt.
1178,This is your fault.
1179,We would never let anything happen to you. We're here.
1180,You know I wouldn't do that. Come on.
1181,Bill
1182,Bill
1183,Bill
1184,Beverly
1185,I'll come back for you. Bev.
1186,Bill
1187,Bill
1188,Bill
1189,"Come on, get out of there Ed, That's gray water."
1190,"Wwwwait, where's my fucking flashlight"
1191,Eddie
1192,"Let's get the fuck outta here, come on."
1193,Bev Bev
1194,Bev Oh shit
1195,Bev.
1196,How is she in the air
1197,"Guys,"
1198,are those
1199,"the missing kids,"
1200,Floating.
1201,Just let me grab her.
1202,I'm slipping
1203,Bev.
1204,Beverly.
1205,Why isn't she waking up
1206,What's wrong with her
1207,"Beverly, please Come on"
1208,"Woah, woah, woah"
1209,Bev
1210,"""January embers"""
1211,"""My heart burns there too."""
1212,"Jesus, fuck"
1213,"oh, god."
1214,Where is Bill
1215,Georgie.
1216,What took you so long
1217,I was looking for you this whole time.
1218,I couldn't find my way outta here.
1219,"He saidI could have my boat back, Billy."
1220,Was she fast
1221,I couldn't keep up with it.
1222,"""she"" Georgie."
1223,"They call boats, She."
1224,"Take me home, Billy."
1225,I wanna go home.
1226,"I miss you, I wanna be with mom and dad."
1227,"I want more than anything for you to be home,"
1228,With Mom and Dad.
1229,I miss you so much.
1230,"I love you, Billy."
1231,"I love you too,"
1232,But you're not Georgie.
1233,"Kill him now, Billy Kill him"
1234,Shit
1235,"Kill him, Bill"
1236,"Kill him, Bill"
1237,Kill him
1238,Kill him (all screaming)
1239,Kill IT
1240,It's not loaded
1241,"Do it, Bill Kill him"
1242,"Hey, it's not loaded"
1243,Dammit.
1244,Fuck.
1245,"Bill, watch out"
1246,Leave him alone
1247,"Beverly, no"
1248,Mike
1249,Help him
1250,Shit
1251,Ben
1252,Stanley
1253,Bill
1254,Bill
1255,"No, don't let him go"
1256,Let him go.
1257,No.
1258,I'll take him.
1259,I'll take all of you.
1260,and I'll feast on your flesh as I feed on your fear
1261,Oooooorrrrr
1262,you'll just leave us be
1263,"I'm taking him, only him"
1264,And then I'll have my long rest
1265,and you will all live to grow old
1266,and drive and lead happy lives
1267,until old age takes you back to the weeds.
1268,Leave
1269,I'm the one who dragged you all into this
1270,"I'm ssss, I'm sssorry."
1271,Sssssorry (Pennywise laughs)
1272,Go
1273,"Guys, we can't."
1274,"Sorry, Bill."
1275,"I told you, Bill."
1276,"I fucking told you,"
1277,I don't want to die
1278,It's your fault.
1279,"You punched me in the face,"
1280,"you made me walk through shitty water,"
1281,you brought me to a fucking crackheadhouse.
1282,And now
1283,I'm gonna have to kill this fucking clown
1284,"Welcome to the losers club, asshole"
1285,Mike Mike
1286,"Stan, look out"
1287,Mike
1288,Kill him
1289,I'm gonna kill you
1290,"Hey Bevvie, are you still my little girl"
1291,Holy shit
1292,"That's why you didn't kill Beverly,"
1293,Cause ssssshe wasn't afraid
1294,and we aren't either
1295,not anymore.
1296,"Now you're the one that's afraid,"
1297,because you're gonna starve.
1298,"""He thrusts his hands against the post"
1299,"""and still insists he sees the ghost."
1300,"""He thrusts his hands against the pppppost"""
1301,Fear
1302,I know what I'm doing for my summer experience essay.
1303,Hey guys.
1304,The kids are floating down.
1305,September
1306,"I only remember parts, but "
1307,I thought i was dead.
1308,That's what it felt like.
1309,"I saw us, saw us together, back in the cistern,"
1310,but we were older 
1311,I mean our parents ages.
1312,Wwwwhat were we all doing there
1313,"I just remembered how we felt,"
1314,"how scared we were,"
1315,I don't think I can ever forget that.
1316,"Swear,"
1317,swear
1318,"if IT isn't dead,"
1319,"if IT ever comes back, we'll come back too."
1320,I gotta go
1321,I hate you.
1322,I'll see you later.
1323,"Goodbye, Stan."
1324,Good bye guys.
1325,"Goodbye, Mike."
1326,"See you later, loser"
1327,"See you, Bill."
1328,"See you, Rich."
1329,See you later.
1330,"Goodbye, Ben."
1331,You all packed for Portland
1332,Yeah pretty much.
1333,I'm going tomorrow morning.
1334,How long will you be gone
1335,My aunt said I can stay for as long as I want.
1336,"Just so you know,"
1337,I never felt like a loser when I was with all of you.
1338,See you around.
1339,Bye.
1340,IT
1341,CHAPTER ONE
1342,Subtitled by Gploze
