Timecode List:,00:00:01.293,00:00:35.536,00:02:35.197,00:03:07.938,00:03:12.901,00:03:24.246,00:03:33.589,00:03:37.551,00:03:42.014,00:03:43.056,00:03:44.224,00:03:52.816,00:03:53.525,00:03:54.193,00:03:57.237,00:08:49.738,00:09:30.362,00:22:56.543,00:23:03.884,00:27:24.853,00:27:26.688,00:27:27.606,00:27:32.444,00:28:05.477,00:28:06.144,00:28:07.896,00:28:08.522,00:28:09.565,00:28:13.068,00:28:13.652,00:31:25.886,00:31:36.355,00:34:26.859,00:34:35.617,00:34:39.705,00:34:45.043,00:34:54.845,00:34:57.139,00:34:58.140,00:35:02.060,00:35:09.067,00:35:09.693,00:35:10.652,00:35:14.615,00:35:18.577,00:35:22.706,00:35:25.542,00:35:31.298,00:35:35.969,00:35:38.805,00:35:39.848,00:35:50.817,00:52:30.442,00:52:56.093,00:55:46.263,00:57:09.972,00:57:16.770,00:57:20.941,00:58:02.608,00:58:09.907,00:58:10.657,00:58:16.121,00:58:28.217,00:58:28.884,00:58:29.635,00:58:44.399,00:58:50.113,00:58:54.785,00:59:15.222,00:59:17.558,00:59:19.935,00:59:25.899,01:13:14.770,01:13:15.604,01:13:16.438,01:13:17.064,01:13:17.773,01:13:35.958,01:13:42.422,01:13:44.633,01:13:46.760,01:13:51.473,01:13:54.184,01:13:55.477,01:13:56.895,01:13:58.272,01:13:59.565,01:14:00.607,01:14:01.942,01:14:03.068,01:19:31.522,01:19:33.315,01:19:56.672,01:20:06.098,01:20:12.354,01:20:22.823,01:20:26.201,01:20:28.579,01:20:41.550,01:20:57.357,01:21:00.194,01:21:02.946,01:21:06.283,01:21:11.830,01:21:15.167,01:21:16.793,01:21:17.461,01:21:19.046,01:21:19.713,01:21:20.631,01:21:23.467,01:21:24.301,01:21:26.011,01:21:28.180,01:21:29.181,01:21:29.765,01:21:31.725,01:21:33.310,01:21:34.728,01:21:35.771,01:21:38.857,01:22:32.578,01:24:34.533,01:24:37.035,01:26:14.883,01:26:28.647,01:29:48.388,01:41:55.032,01:42:46.834,01:44:05.037,01:44:12.336,01:44:14.505,01:44:47.329,01:44:47.996,01:44:48.664,01:44:49.331,01:44:49.998,01:45:17.359,01:46:03.614,01:46:53.497,01:47:38.417,01:47:39.084,01:47:40.252,01:47:41.336,01:47:42.546,01:47:43.589,01:47:47.092,01:47:48.635,01:47:49.595,01:47:50.554,01:48:00.314,01:48:02.024,01:48:09.907,01:48:13.035,01:48:14.536,01:48:21.418,01:48:24.213,01:48:41.230,01:48:50.697,01:48:58.747,01:49:00.165,01:49:01.917,01:49:15.013,01:49:16.807,01:49:17.266,01:49:18.058,01:49:19.017,01:49:20.978,01:49:21.770,01:49:23.480,01:49:25.399,01:49:26.358,01:49:29.945,01:49:31.071,01:49:33.490,01:49:34.366,01:49:37.286,01:49:37.911,01:49:38.871,01:49:46.003,01:49:47.671,01:49:51.800,01:49:52.509,01:49:53.093,01:49:58.015,01:50:04.021,01:50:16.575,01:50:22.289,01:50:50.526,01:50:53.529,01:51:00.452,01:51:03.705,01:51:05.207,01:51:07.626,01:51:08.544,01:51:10.546,01:51:15.801,01:51:22.307,01:51:22.891,01:51:38.866,01:51:53.130,01:52:12.399,01:52:13.400,01:52:14.651,01:52:18.071,01:52:20.908,01:52:26.413,01:52:28.290,01:52:32.628,01:52:41.678,01:52:42.387,01:52:44.890,01:52:57.778,01:56:36.955,01:56:54.765,01:56:55.724,01:56:56.391,01:57:33.053,01:57:45.607,01:57:59.913,01:58:01.039,01:58:02.457,01:58:03.292,01:58:06.670,02:00:05.873,02:00:11.503,02:00:44.661,02:00:49.625,02:00:50.584,02:02:20.924,02:03:07.554,02:04:03.151,02:08:56.653,02:09:22.095,02:09:51.083,02:09:51.750,02:09:52.501,02:09:53.168,02:09:54.169,02:09:55.337,02:09:56.088,02:09:56.797,02:09:57.965,02:10:11.353,02:10:12.020,02:10:12.771,02:10:18.610,02:10:24.157,02:10:25.158,02:10:25.993,02:10:26.618,02:10:27.369,02:10:27.995,02:10:28.620,02:10:29.371,02:10:30.205,02:10:35.460,02:10:40.966,02:10:41.425,02:10:42.676,02:10:43.343,02:10:44.011,02:10:46.555,02:10:48.891,02:10:50.559,02:10:59.318,02:11:00.235,02:11:01.236,02:11:01.904,02:11:02.696,02:11:15.751,02:11:32.351,02:11:36.563,02:11:37.231,02:11:37.940,02:11:38.690,02:11:39.441,02:11:40.317,02:11:40.943,02:11:41.610,02:11:42.236,02:11:45.781,02:11:46.406,02:11:47.074,02:11:47.699,02:11:48.659,02:11:50.244,02:11:51.411,02:11:57.501,02:12:02.714,02:12:03.340,02:12:04.341,02:12:05.551,02:12:06.176,02:12:06.844,02:12:07.553,02:12:08.762,02:12:11.598,02:12:14.101,02:12:16.979,02:12:19.565,02:12:20.232,02:12:21.108,02:12:22.150,02:12:22.860,02:12:23.527,02:12:32.494,02:12:33.161,02:12:35.455,02:12:38.208,02:12:39.334,02:12:53.599,02:12:55.309,02:12:57.728,02:13:05.986,02:13:12.868,02:13:23.086,02:13:30.469,02:13:52.699,02:13:53.325,02:13:53.992,02:13:59.790,02:14:06.964,02:14:08.340,02:14:15.556,02:14:21.854,02:14:31.947,02:14:36.285
Scene Number,Start Frame,Start Timecode,Start Time (seconds),End Frame,End Timecode,End Time (seconds),Length (frames),Length (timecode),Length (seconds)
180,157735,01:49:38.871,6578.871,157906,01:49:46.003,6586.003,171,00:00:07.132,7.132
181,157906,01:49:46.003,6586.003,157946,01:49:47.671,6587.671,40,00:00:01.668,1.668
182,157946,01:49:47.671,6587.671,158045,01:49:51.800,6591.800,99,00:00:04.129,4.129
183,158045,01:49:51.800,6591.800,158062,01:49:52.509,6592.509,17,00:00:00.709,0.709
184,158062,01:49:52.509,6592.509,158076,01:49:53.093,6593.093,14,00:00:00.584,0.584
185,158076,01:49:53.093,6593.093,158194,01:49:58.015,6598.015,118,00:00:04.922,4.922
186,158194,01:49:58.015,6598.015,158338,01:50:04.021,6604.021,144,00:00:06.006,6.006
187,158338,01:50:04.021,6604.021,158639,01:50:16.575,6616.575,301,00:00:12.554,12.554
188,158639,01:50:16.575,6616.575,158776,01:50:22.289,6622.289,137,00:00:05.714,5.714
189,158776,01:50:22.289,6622.289,159453,01:50:50.526,6650.526,677,00:00:28.237,28.237
190,159453,01:50:50.526,6650.526,159525,01:50:53.529,6653.529,72,00:00:03.003,3.003
191,159525,01:50:53.529,6653.529,159691,01:51:00.452,6660.452,166,00:00:06.924,6.924
192,159691,01:51:00.452,6660.452,159769,01:51:03.705,6663.705,78,00:00:03.253,3.253
193,159769,01:51:03.705,6663.705,159805,01:51:05.207,6665.207,36,00:00:01.502,1.502
194,159805,01:51:05.207,6665.207,159863,01:51:07.626,6667.626,58,00:00:02.419,2.419
195,159863,01:51:07.626,6667.626,159885,01:51:08.544,6668.544,22,00:00:00.918,0.918
196,159885,01:51:08.544,6668.544,159933,01:51:10.546,6670.546,48,00:00:02.002,2.002
197,159933,01:51:10.546,6670.546,160059,01:51:15.801,6675.801,126,00:00:05.255,5.255
198,160059,01:51:15.801,6675.801,160215,01:51:22.307,6682.307,156,00:00:06.507,6.507
199,160215,01:51:22.307,6682.307,160229,01:51:22.891,6682.891,14,00:00:00.584,0.584
200,160229,01:51:22.891,6682.891,160612,01:51:38.866,6698.866,383,00:00:15.974,15.974
201,160612,01:51:38.866,6698.866,160954,01:51:53.130,6713.130,342,00:00:14.264,14.264
202,160954,01:51:53.130,6713.130,161416,01:52:12.399,6732.399,462,00:00:19.269,19.269
203,161416,01:52:12.399,6732.399,161440,01:52:13.400,6733.400,24,00:00:01.001,1.001
204,161440,01:52:13.400,6733.400,161470,01:52:14.651,6734.651,30,00:00:01.251,1.251
205,161470,01:52:14.651,6734.651,161552,01:52:18.071,6738.071,82,00:00:03.420,3.420
206,161552,01:52:18.071,6738.071,161620,01:52:20.908,6740.908,68,00:00:02.836,2.836
207,161620,01:52:20.908,6740.908,161752,01:52:26.413,6746.413,132,00:00:05.506,5.506
208,161752,01:52:26.413,6746.413,161797,01:52:28.290,6748.290,45,00:00:01.877,1.877
209,161797,01:52:28.290,6748.290,161901,01:52:32.628,6752.628,104,00:00:04.338,4.338
210,161901,01:52:32.628,6752.628,162118,01:52:41.678,6761.678,217,00:00:09.051,9.051
211,162118,01:52:41.678,6761.678,162135,01:52:42.387,6762.387,17,00:00:00.709,0.709
212,162135,01:52:42.387,6762.387,162195,01:52:44.890,6764.890,60,00:00:02.503,2.503
213,162195,01:52:44.890,6764.890,162504,01:52:57.778,6777.778,309,00:00:12.888,12.888
214,162504,01:52:57.778,6777.778,167759,01:56:36.955,6996.955,5255,00:03:39.178,219.178
215,167759,01:56:36.955,6996.955,168186,01:56:54.765,7014.765,427,00:00:17.809,17.809
216,168186,01:56:54.765,7014.765,168209,01:56:55.724,7015.724,23,00:00:00.959,0.959
217,168209,01:56:55.724,7015.724,168225,01:56:56.391,7016.391,16,00:00:00.667,0.667
218,168225,01:56:56.391,7016.391,169104,01:57:33.053,7053.053,879,00:00:36.662,36.662
219,169104,01:57:33.053,7053.053,169405,01:57:45.607,7065.607,301,00:00:12.554,12.554
220,169405,01:57:45.607,7065.607,169748,01:57:59.913,7079.913,343,00:00:14.306,14.306
221,169748,01:57:59.913,7079.913,169775,01:58:01.039,7081.039,27,00:00:01.126,1.126
222,169775,01:58:01.039,7081.039,169809,01:58:02.457,7082.457,34,00:00:01.418,1.418
223,169809,01:58:02.457,7082.457,169829,01:58:03.292,7083.292,20,00:00:00.834,0.834
224,169829,01:58:03.292,7083.292,169910,01:58:06.670,7086.670,81,00:00:03.378,3.378
225,169910,01:58:06.670,7086.670,172768,02:00:05.873,7205.873,2858,00:01:59.203,119.203
226,172768,02:00:05.873,7205.873,172903,02:00:11.503,7211.503,135,00:00:05.631,5.631
227,172903,02:00:11.503,7211.503,173698,02:00:44.661,7244.661,795,00:00:33.158,33.158
228,173698,02:00:44.661,7244.661,173817,02:00:49.625,7249.625,119,00:00:04.963,4.963
229,173817,02:00:49.625,7249.625,173840,02:00:50.584,7250.584,23,00:00:00.959,0.959
230,173840,02:00:50.584,7250.584,176006,02:02:20.924,7340.924,2166,00:01:30.340,90.340
231,176006,02:02:20.924,7340.924,177124,02:03:07.554,7387.554,1118,00:00:46.630,46.630
232,177124,02:03:07.554,7387.554,178457,02:04:03.151,7443.151,1333,00:00:55.597,55.597
233,178457,02:04:03.151,7443.151,185494,02:08:56.653,7736.653,7037,00:04:53.502,293.502
234,185494,02:08:56.653,7736.653,186104,02:09:22.095,7762.095,610,00:00:25.442,25.442
235,186104,02:09:22.095,7762.095,186799,02:09:51.083,7791.083,695,00:00:28.987,28.987
236,186799,02:09:51.083,7791.083,186815,02:09:51.750,7791.750,16,00:00:00.667,0.667
237,186815,02:09:51.750,7791.750,186833,02:09:52.501,7792.501,18,00:00:00.751,0.751
238,186833,02:09:52.501,7792.501,186849,02:09:53.168,7793.168,16,00:00:00.667,0.667
239,186849,02:09:53.168,7793.168,186873,02:09:54.169,7794.169,24,00:00:01.001,1.001
240,186873,02:09:54.169,7794.169,186901,02:09:55.337,7795.337,28,00:00:01.168,1.168
241,186901,02:09:55.337,7795.337,186919,02:09:56.088,7796.088,18,00:00:00.751,0.751
242,186919,02:09:56.088,7796.088,186936,02:09:56.797,7796.797,17,00:00:00.709,0.709
243,186936,02:09:56.797,7796.797,186964,02:09:57.965,7797.965,28,00:00:01.168,1.168
244,186964,02:09:57.965,7797.965,187285,02:10:11.353,7811.353,321,00:00:13.388,13.388
245,187285,02:10:11.353,7811.353,187301,02:10:12.020,7812.020,16,00:00:00.667,0.667
246,187301,02:10:12.020,7812.020,187319,02:10:12.771,7812.771,18,00:00:00.751,0.751
247,187319,02:10:12.771,7812.771,187459,02:10:18.610,7818.610,140,00:00:05.839,5.839
248,187459,02:10:18.610,7818.610,187592,02:10:24.157,7824.157,133,00:00:05.547,5.547
249,187592,02:10:24.157,7824.157,187616,02:10:25.158,7825.158,24,00:00:01.001,1.001
250,187616,02:10:25.158,7825.158,187636,02:10:25.993,7825.993,20,00:00:00.834,0.834
251,187636,02:10:25.993,7825.993,187651,02:10:26.618,7826.618,15,00:00:00.626,0.626
252,187651,02:10:26.618,7826.618,187669,02:10:27.369,7827.369,18,00:00:00.751,0.751
253,187669,02:10:27.369,7827.369,187684,02:10:27.995,7827.995,15,00:00:00.626,0.626
254,187684,02:10:27.995,7827.995,187699,02:10:28.620,7828.620,15,00:00:00.626,0.626
255,187699,02:10:28.620,7828.620,187717,02:10:29.371,7829.371,18,00:00:00.751,0.751
256,187717,02:10:29.371,7829.371,187737,02:10:30.205,7830.205,20,00:00:00.834,0.834
257,187737,02:10:30.205,7830.205,187863,02:10:35.460,7835.460,126,00:00:05.255,5.255
258,187863,02:10:35.460,7835.460,187995,02:10:40.966,7840.966,132,00:00:05.506,5.506
259,187995,02:10:40.966,7840.966,188006,02:10:41.425,7841.425,11,00:00:00.459,0.459
260,188006,02:10:41.425,7841.425,188036,02:10:42.676,7842.676,30,00:00:01.251,1.251
261,188036,02:10:42.676,7842.676,188052,02:10:43.343,7843.343,16,00:00:00.667,0.667
262,188052,02:10:43.343,7843.343,188068,02:10:44.011,7844.011,16,00:00:00.667,0.667
263,188068,02:10:44.011,7844.011,188129,02:10:46.555,7846.555,61,00:00:02.544,2.544
264,188129,02:10:46.555,7846.555,188185,02:10:48.891,7848.891,56,00:00:02.336,2.336
265,188185,02:10:48.891,7848.891,188225,02:10:50.559,7850.559,40,00:00:01.668,1.668
266,188225,02:10:50.559,7850.559,188435,02:10:59.318,7859.318,210,00:00:08.759,8.759
267,188435,02:10:59.318,7859.318,188457,02:11:00.235,7860.235,22,00:00:00.918,0.918
268,188457,02:11:00.235,7860.235,188481,02:11:01.236,7861.236,24,00:00:01.001,1.001
269,188481,02:11:01.236,7861.236,188497,02:11:01.904,7861.904,16,00:00:00.667,0.667
270,188497,02:11:01.904,7861.904,188516,02:11:02.696,7862.696,19,00:00:00.792,0.792
271,188516,02:11:02.696,7862.696,188829,02:11:15.751,7875.751,313,00:00:13.055,13.055
272,188829,02:11:15.751,7875.751,189227,02:11:32.351,7892.351,398,00:00:16.600,16.600
273,189227,02:11:32.351,7892.351,189328,02:11:36.563,7896.563,101,00:00:04.213,4.213
274,189328,02:11:36.563,7896.563,189344,02:11:37.231,7897.231,16,00:00:00.667,0.667
275,189344,02:11:37.231,7897.231,189361,02:11:37.940,7897.940,17,00:00:00.709,0.709
276,189361,02:11:37.940,7897.940,189379,02:11:38.690,7898.690,18,00:00:00.751,0.751
277,189379,02:11:38.690,7898.690,189397,02:11:39.441,7899.441,18,00:00:00.751,0.751
278,189397,02:11:39.441,7899.441,189418,02:11:40.317,7900.317,21,00:00:00.876,0.876
279,189418,02:11:40.317,7900.317,189433,02:11:40.943,7900.943,15,00:00:00.626,0.626
280,189433,02:11:40.943,7900.943,189449,02:11:41.610,7901.610,16,00:00:00.667,0.667
281,189449,02:11:41.610,7901.610,189464,02:11:42.236,7902.236,15,00:00:00.626,0.626
282,189464,02:11:42.236,7902.236,189549,02:11:45.781,7905.781,85,00:00:03.545,3.545
283,189549,02:11:45.781,7905.781,189564,02:11:46.406,7906.406,15,00:00:00.626,0.626
284,189564,02:11:46.406,7906.406,189580,02:11:47.074,7907.074,16,00:00:00.667,0.667
285,189580,02:11:47.074,7907.074,189595,02:11:47.699,7907.699,15,00:00:00.626,0.626
286,189595,02:11:47.699,7907.699,189618,02:11:48.659,7908.659,23,00:00:00.959,0.959
287,189618,02:11:48.659,7908.659,189656,02:11:50.244,7910.244,38,00:00:01.585,1.585
288,189656,02:11:50.244,7910.244,189684,02:11:51.411,7911.411,28,00:00:01.168,1.168
289,189684,02:11:51.411,7911.411,189830,02:11:57.501,7917.501,146,00:00:06.089,6.089
290,189830,02:11:57.501,7917.501,189955,02:12:02.714,7922.714,125,00:00:05.214,5.214
291,189955,02:12:02.714,7922.714,189970,02:12:03.340,7923.340,15,00:00:00.626,0.626
292,189970,02:12:03.340,7923.340,189994,02:12:04.341,7924.341,24,00:00:01.001,1.001
293,189994,02:12:04.341,7924.341,190023,02:12:05.551,7925.551,29,00:00:01.210,1.210
294,190023,02:12:05.551,7925.551,190038,02:12:06.176,7926.176,15,00:00:00.626,0.626
295,190038,02:12:06.176,7926.176,190054,02:12:06.844,7926.844,16,00:00:00.667,0.667
296,190054,02:12:06.844,7926.844,190071,02:12:07.553,7927.553,17,00:00:00.709,0.709
297,190071,02:12:07.553,7927.553,190100,02:12:08.762,7928.762,29,00:00:01.210,1.210
298,190100,02:12:08.762,7928.762,190168,02:12:11.598,7931.598,68,00:00:02.836,2.836
299,190168,02:12:11.598,7931.598,190228,02:12:14.101,7934.101,60,00:00:02.503,2.503
300,190228,02:12:14.101,7934.101,190297,02:12:16.979,7936.979,69,00:00:02.878,2.878
301,190297,02:12:16.979,7936.979,190359,02:12:19.565,7939.565,62,00:00:02.586,2.586
302,190359,02:12:19.565,7939.565,190375,02:12:20.232,7940.232,16,00:00:00.667,0.667
303,190375,02:12:20.232,7940.232,190396,02:12:21.108,7941.108,21,00:00:00.876,0.876
304,190396,02:12:21.108,7941.108,190421,02:12:22.150,7942.150,25,00:00:01.043,1.043
305,190421,02:12:22.150,7942.150,190438,02:12:22.860,7942.860,17,00:00:00.709,0.709
306,190438,02:12:22.860,7942.860,190454,02:12:23.527,7943.527,16,00:00:00.667,0.667
307,190454,02:12:23.527,7943.527,190669,02:12:32.494,7952.494,215,00:00:08.967,8.967
308,190669,02:12:32.494,7952.494,190685,02:12:33.161,7953.161,16,00:00:00.667,0.667
309,190685,02:12:33.161,7953.161,190740,02:12:35.455,7955.455,55,00:00:02.294,2.294
310,190740,02:12:35.455,7955.455,190806,02:12:38.208,7958.208,66,00:00:02.753,2.753
311,190806,02:12:38.208,7958.208,190833,02:12:39.334,7959.334,27,00:00:01.126,1.126
312,190833,02:12:39.334,7959.334,191175,02:12:53.599,7973.599,342,00:00:14.264,14.264
313,191175,02:12:53.599,7973.599,191216,02:12:55.309,7975.309,41,00:00:01.710,1.710
314,191216,02:12:55.309,7975.309,191274,02:12:57.728,7977.728,58,00:00:02.419,2.419
315,191274,02:12:57.728,7977.728,191472,02:13:05.986,7985.986,198,00:00:08.258,8.258
316,191472,02:13:05.986,7985.986,191637,02:13:12.868,7992.868,165,00:00:06.882,6.882
317,191637,02:13:12.868,7992.868,191882,02:13:23.086,8003.086,245,00:00:10.219,10.219
318,191882,02:13:23.086,8003.086,192059,02:13:30.469,8010.469,177,00:00:07.382,7.382
319,192059,02:13:30.469,8010.469,192592,02:13:52.699,8032.699,533,00:00:22.231,22.231
320,192592,02:13:52.699,8032.699,192607,02:13:53.325,8033.325,15,00:00:00.626,0.626
321,192607,02:13:53.325,8033.325,192623,02:13:53.992,8033.992,16,00:00:00.667,0.667
322,192623,02:13:53.992,8033.992,192762,02:13:59.790,8039.790,139,00:00:05.797,5.797
323,192762,02:13:59.790,8039.790,192934,02:14:06.964,8046.964,172,00:00:07.174,7.174
324,192934,02:14:06.964,8046.964,192967,02:14:08.340,8048.340,33,00:00:01.376,1.376
325,192967,02:14:08.340,8048.340,193140,02:14:15.556,8055.556,173,00:00:07.216,7.216
326,193140,02:14:15.556,8055.556,193291,02:14:21.854,8061.854,151,00:00:06.298,6.298
327,193291,02:14:21.854,8061.854,193533,02:14:31.947,8071.947,242,00:00:10.093,10.093
328,193533,02:14:31.947,8071.947,193637,02:14:36.285,8076.285,104,00:00:04.338,4.338
329,193637,02:14:36.285,8076.285,193783,02:14:42.374,8082.374,146,00:00:06.089,6.089
